                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 0.3608,                0.18115,                 0.8319,                0.99984,                      1,                  0.995,                0.93262,                0.38833,                0.15533,                0.82853,              0.0002774,              0.0002774,              0.0002774
                     90,                0.35637,                0.17801,                 0.8244,                0.99984,                      1,                  0.995,                0.93344,                0.39067,                0.15663,                0.82918,              0.0002576,              0.0002576,              0.0002576
                     91,                0.33935,                0.15684,                0.80245,                0.99981,                      1,                  0.995,                0.93747,                0.37799,                0.15533,                0.82664,              0.0002378,              0.0002378,              0.0002378
                     92,                0.33732,                0.15785,                0.81059,                0.99983,                      1,                  0.995,                0.93487,                0.37752,                0.15482,                0.82563,               0.000218,               0.000218,               0.000218
                     93,                0.33466,                0.15525,                0.80011,                0.99984,                      1,                  0.995,                0.93701,                0.37909,                0.15823,                0.82582,              0.0001982,              0.0001982,              0.0001982
                     94,                0.32674,                0.15345,                0.81145,                0.99984,                      1,                  0.995,                0.93871,                0.38116,                0.15725,                0.82589,              0.0001784,              0.0001784,              0.0001784
                     95,                0.32964,                0.15208,                0.80788,                0.99984,                      1,                  0.995,                 0.9394,                0.37928,                0.15462,                0.82561,              0.0001586,              0.0001586,              0.0001586
                     96,                0.32842,                0.14892,                0.80063,                0.99984,                      1,                  0.995,                0.94253,                0.37227,                0.15282,                0.82466,              0.0001388,              0.0001388,              0.0001388
                     97,                0.32683,                0.14917,                0.80219,                0.99984,                      1,                  0.995,                0.94262,                0.37598,                0.15193,                0.82508,               0.000119,               0.000119,               0.000119
                     98,                0.32205,                0.14725,                 0.8055,                0.99984,                      1,                  0.995,                0.93997,                0.37807,                0.15086,                0.82597,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.32132,                0.14621,                0.80246,                0.99984,                      1,                  0.995,                  0.941,                0.37755,                0.15133,                0.82608,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.31954,                0.14682,                0.79524,                0.99984,                      1,                  0.995,                0.94066,                0.37685,                0.14945,                0.82573,               5.96e-05,               5.96e-05,               5.96e-05
